,Apply,Map,Apply_Ac,Map_Ac
1000,1.23,1.12,1.12,1.22
2000,1.42,1.14,1.15,1.22
3000,1.53,1.15,1.16,1.17
4000,1.73,1.17,1.22,1.22
5000,1.82,1.22,1.21,1.22
6000,2.04,1.22,1.22,1.22
7000,2.12,1.22,1.22,1.22
8000,2.23,1.18,1.24,1.43
9000,2.74,1.45,1.45,1.46
10000,3.05,1.43,1.45,1.45
11000,3.04,1.45,1.45,1.46
12000,3.25,1.43,1.44,1.45
13000,3.35,1.38,1.37,1.34
14000,3.24,1.26,1.26,1.25
15000,3.14,1.22,1.22,1.22
16000,3.24,1.22,1.22,1.22
17000,3.24,1.16,1.22,1.22
18000,3.54,1.23,1.25,1.25
19000,3.95,1.34,1.43,1.36
20000,4.35,1.45,1.45,1.45
21000,4.56,1.43,1.46,1.44
22000,4.76,1.43,1.45,1.45
23000,4.34,1.32,1.32,1.32
24000,4.54,1.31,1.31,1.32
25000,4.54,1.32,1.31,1.32
26000,4.44,1.2,1.21,1.21
27000,4.14,1.11,1.11,1.11
28000,4.24,1.1,1.11,1.1
29000,4.33,1.1,1.11,1.11
